                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.62912,                0.84072,                  1.101,                0.80576,                0.84071,                0.98426,                 0.8081,                0.43812,                 82.501,                0.75191,             0.00021762,             0.00021762,             0.00021762
                     37,                0.62632,                0.82474,                 1.0945,                0.79791,                0.87014,                0.98583,                0.77976,                0.44597,                 76.171,                0.76471,             0.00021432,             0.00021432,             0.00021432
                     38,                0.62123,                0.81418,                 1.0935,                0.79448,                0.95616,                  0.995,                0.78954,                0.51787,                 80.373,                0.82637,             0.00021102,             0.00021102,             0.00021102
                     39,                0.61886,                0.77767,                 1.0922,                0.80029,                0.92593,                0.98767,                0.81993,                0.46952,                 64.521,                0.80511,             0.00020773,             0.00020773,             0.00020773
                     40,                 0.6036,                0.80528,                 1.0876,                0.82166,                0.82447,                0.96267,                 0.7851,                 0.4585,                 68.752,                0.78809,             0.00020443,             0.00020443,             0.00020443
                     41,                0.61303,                0.76841,                 1.0892,                 0.7484,                0.86992,                0.97219,                0.81319,                0.45148,                 74.135,                0.76922,             0.00020113,             0.00020113,             0.00020113
                     42,                0.59052,                0.73803,                 1.0779,                0.81431,                0.82825,                0.81072,                0.70264,                0.42364,                 78.135,                0.75341,             0.00019784,             0.00019784,             0.00019784
                     43,                0.60207,                0.74457,                 1.0776,                0.73636,                0.91849,                0.98767,                0.80094,                0.47099,                 75.189,                  0.816,             0.00019454,             0.00019454,             0.00019454
                     44,                0.62454,                0.77052,                 1.0979,                0.72874,                 0.9542,                 0.8255,                0.68488,                0.43039,                 88.168,                0.76294,             0.00019124,             0.00019124,             0.00019124
                     45,                0.59891,                0.73479,                 1.0799,                0.76687,                0.95526,                0.99133,                0.81347,                 0.4678,                 75.815,                0.80553,             0.00018795,             0.00018795,             0.00018795
                     46,                0.59407,                0.70226,                 1.0836,                0.80379,                0.81372,                 0.7922,                0.65796,                0.42181,                 79.025,                0.73666,             0.00018465,             0.00018465,             0.00018465
                     47,                0.60276,                0.71428,                 1.0832,                0.78235,                0.85147,                0.97315,                0.80919,                0.43542,                 80.363,                0.75973,             0.00018135,             0.00018135,             0.00018135
                     48,                0.59224,                0.69238,                 1.0817,                 0.8686,                0.82475,                0.97315,                0.78844,                0.44797,                 81.756,                0.75654,             0.00017806,             0.00017806,             0.00017806
                     49,                0.58469,                0.67163,                 1.0663,                0.81065,                0.78834,                0.93175,                0.77626,                0.38122,                 69.022,                0.69095,             0.00017476,             0.00017476,             0.00017476
                     50,                0.58331,                0.67685,                 1.0696,                0.80828,                0.87612,                0.98426,                0.80563,                0.46384,                  77.92,                0.79081,             0.00017146,             0.00017146,             0.00017146
                     51,                0.57454,                0.68063,                 1.0665,                0.80083,                0.81535,                0.80014,                 0.6578,                 0.4858,                 91.488,                0.82196,             0.00016817,             0.00016817,             0.00016817
                     52,                0.57565,                0.66587,                 1.0723,                0.76197,                0.85237,                 0.7888,                0.65807,                 0.4639,                 84.939,                0.77385,             0.00016487,             0.00016487,             0.00016487
                     53,                0.58078,                0.66021,                 1.0739,                 0.8164,                0.78973,                0.96593,                0.81433,                0.48417,                 75.939,                0.79162,             0.00016157,             0.00016157,             0.00016157
                     54,                0.57984,                0.66043,                 1.0662,                0.81318,                0.85926,                0.79944,                 0.6539,                0.44577,                  85.97,                 0.7749,             0.00015827,             0.00015827,             0.00015827
                     55,                0.56983,                  0.669,                 1.0591,                 0.7746,                0.97725,                0.98767,                0.84087,                0.47872,                 85.245,                0.81448,             0.00015498,             0.00015498,             0.00015498
                     56,                0.57533,                0.65154,                 1.0693,                0.73336,                0.96296,                0.98426,                0.76614,                0.51553,                 87.666,                0.86569,             0.00015168,             0.00015168,             0.00015168
                     57,                0.56479,                0.62815,                 1.0578,                0.76603,                0.78519,                 0.9625,                0.81966,                0.48107,                 83.216,                0.82272,             0.00014838,             0.00014838,             0.00014838
                     58,                0.57416,                0.66043,                 1.0663,                0.80822,                0.85553,                0.79362,                0.64883,                0.50803,                 91.026,                 0.8568,             0.00014509,             0.00014509,             0.00014509
                     59,                0.55159,                0.61709,                 1.0529,                0.80646,                0.85335,                0.95463,                0.78265,                 0.4675,                 88.748,                0.82309,             0.00014179,             0.00014179,             0.00014179
                     60,                0.55099,                 0.6083,                 1.0592,                0.82049,                0.83119,                0.95197,                0.74902,                0.49409,                 88.846,                0.83674,             0.00013849,             0.00013849,             0.00013849
                     61,                0.55818,                0.61267,                 1.0638,                 0.8068,                0.86562,                0.96633,                0.76343,                0.53756,                 83.192,                0.86341,              0.0001352,              0.0001352,              0.0001352
                     62,                0.55294,                0.60488,                 1.0535,                0.80367,                0.81444,                0.80279,                0.66283,                0.53393,                 92.322,                0.90769,              0.0001319,              0.0001319,              0.0001319
                     63,                0.54447,                0.59062,                 1.0541,                0.80513,                0.86045,                0.81439,                0.69079,                 0.4347,                 90.272,                0.77151,              0.0001286,              0.0001286,              0.0001286
